Word,Total,actOne.pdf,actTwo.pdf,actThree.pdf
a,353,153,200,0
about,1,1,0,0
above,1,0,1,0
accessible,7,7,0,0
accord,1,0,1,0
accordance,23,8,15,0
account,7,0,7,0
accountability,2,2,0,0
accounting,1,0,1,0
accounts,1,0,1,0
accurately,1,0,1,0
achieve,1,0,1,0
acknowledge,1,1,0,0
acquire,1,0,1,0
act,105,40,65,0
actcolumn,1,1,0,0
action,74,73,1,0
acts,1,0,1,0
addition,3,0,3,0
additional,1,1,0,0
address,4,4,0,0
administer,2,1,1,0
adopt,2,0,2,0
adoption,3,0,3,0
adulterate,2,0,2,0
adulterated,2,0,2,0
advance,22,22,0,0
advancement,20,20,0,0
advertise,1,0,1,0
advice,3,3,0,0
advisable,1,0,1,0
advise,2,2,0,0
affect,1,1,0,0
after,15,11,4,0
against,17,14,3,0
agent,2,0,2,0
alignment,1,1,0,0
all,17,1,16,0
allocate,1,0,1,0
allot,1,0,1,0
allowance,1,1,0,0
already,1,0,1,0
alter,1,0,1,0
amend,1,0,1,0
amendment,3,3,0,0
among,4,2,2,0
amount,5,1,4,0
analysis,4,0,4,0
analyst,3,0,3,0
and,445,253,192,0
animal,19,0,19,0
annua,2,2,0,0
annual,3,3,0,0
another,1,0,1,0
antisemitism,1,1,0,0
any,105,13,92,0
anyone,2,0,2,0
anything,1,1,0,0
appear,1,0,1,0
appearance,1,0,1,0
applicable,3,2,1,0
applicant,2,1,1,0
application,6,4,2,0
apply,15,6,9,0
appoint,19,15,4,0
appointment,2,0,2,0
appropriate,5,5,0,0
approval,1,0,1,0
approve,9,0,9,0
april,2,2,0,0
area,9,0,9,0
as,73,32,41,0
ascertain,1,0,1,0
assembly,8,8,0,0
assent,2,2,0,0
assess,12,12,0,0
assessment,21,20,1,0
assist,4,1,3,0
assistance,1,0,1,0
association,7,0,7,0
at,27,11,16,0
attention,1,1,0,0
august,2,1,1,0
authority,7,0,7,0
authorize,7,0,7,0
available,7,6,1,0
b,93,71,22,0
bacteriological,1,0,1,0
bacterium,2,0,2,0
ballot,2,0,2,0
barn,2,0,2,0
base,2,1,1,0
basis,4,0,4,0
bc,1,0,1,0
be,241,46,195,0
before,11,8,3,0
begin,2,2,0,0
behalf,1,0,1,0
believe,3,0,3,0
between,1,0,1,0
beyond,3,0,3,0
board,17,1,16,0
body,91,91,0,0
book,4,0,4,0
brand,1,0,1,0
bring,1,1,0,0
british,14,9,5,0
buffalo,1,0,1,0
building,9,0,9,0
bulk,6,0,6,0
but,7,0,7,0
butter,1,0,1,0
butterfat,1,0,1,0
buying,1,0,1,0
by,135,48,87,0
c,35,24,11,0
calculate,1,0,1,0
calibration,1,0,1,0
calling,1,1,0,0
can,2,1,1,0
canada,5,1,4,0
canadalicence,2,1,1,0
cancel,4,0,4,0
cancellation,2,0,2,0
carrier,1,0,1,0
carry,8,5,3,0
case,1,0,1,0
cast,2,0,2,0
category,2,2,0,0
cause,4,2,2,0
certificate,25,0,25,0
certification,1,0,1,0
certified,1,0,1,0
certify,4,0,4,0
chair,1,1,0,0
change,4,2,2,0
chapter,2,1,1,0
charge,5,0,5,0
check,2,0,2,0
cheese,2,0,2,0
circumstance,4,3,1,0
claim,1,0,1,0
class,8,0,8,0
classify,1,0,1,0
clean,1,0,1,0
cleanliness,1,0,1,0
cleanse,1,0,1,0
clearly,1,0,1,0
clerk,2,2,0,0
closed,1,0,1,0
closely,1,0,1,0
clothing,1,0,1,0
code,10,4,6,0
collaboration,1,1,0,0
collect,5,0,5,0
collection,4,0,4,0
colonial,1,1,0,0
colonialism,1,1,0,0
colour,1,0,1,0
colouring,1,0,1,0
columbia,14,9,5,0
column,3,3,0,0
come,1,1,0,0
commencement,2,2,0,0
comment,1,1,0,0
commissioner,1,1,0,0
commit,12,0,12,0
committee,39,39,0,0
community,18,18,0,0
company,1,0,1,0
competence,2,0,2,0
competency,1,0,1,0
complete,2,2,0,0
compliance,13,9,4,0
comply,13,8,5,0
composition,3,0,3,0
compositional,1,0,1,0
compound,2,0,2,0
